# DIAMOND v2.0.15. http://github.com/bbuchfink/diamond
# Invocation: diamond blastp --header -p 16 -f 6 qseqid stitle pident evalue -d /ref/cog-20.fa -q SRR19573024/prodigal/001.fasta.faa -o SRR19573024/diamond/001.fasta.tsv
# Fields: Query ID, Subject title, Percentage of identical matches, Expected value
k115_30_1	WP_080806236_1 CHAT domain-containing protein [Halomicronema hongdechloris]	60.2	5.20e-74
k115_30_1	WP_015181877_1 CHAT domain-containing protein [Microcoleus sp. PCC 7113]	61.7	8.86e-72
k115_30_1	WP_088429076_1 CHAT domain-containing protein [Halomicronema hongdechloris]	59.4	4.16e-70
k115_30_1	WP_088428759_1 CHAT domain-containing protein [Halomicronema hongdechloris]	59.7	5.39e-70
k115_30_1	NP_924007_1 kinesin light chain [Gloeobacter violaceus PCC 7421]	54.8	1.80e-62
k115_30_1	NP_926535_1 hypothetical protein glr3589 [Gloeobacter violaceus PCC 7421]	53.3	1.69e-60
k115_30_1	NP_925172_1 hypothetical protein gll2226 [Gloeobacter violaceus PCC 7421]	55.5	1.83e-60
k115_30_1	NP_926605_1 hypothetical protein gll3659 [Gloeobacter violaceus PCC 7421]	55.5	5.42e-60
k115_30_1	NP_682875_1 hypothetical protein tlr2085 [Thermosynechococcus elongatus BP-1]	55.7	8.75e-59
k115_30_1	WP_015220856_1 CHAT domain-containing protein [Cyanobacterium aponinum]	53.5	1.80e-57
k115_30_1	NP_925841_1 hypothetical protein glr2895 [Gloeobacter violaceus PCC 7421]	51.4	9.47e-55
k115_30_1	NP_924835_1 hypothetical protein gll1889 [Gloeobacter violaceus PCC 7421]	53.1	4.82e-54
k115_30_1	WP_086018232_1 CHAT domain-containing protein [Sorangium cellulosum]	52.6	6.40e-54
k115_30_1	WP_014101407_1 CHAT domain-containing protein [Chloracidobacterium thermophilum]	50.0	1.06e-53
k115_30_1	NP_683142_1 hypothetical protein tll2352 [Thermosynechococcus elongatus BP-1]	51.4	1.23e-53
k115_30_1	WP_011612719_1 CHAT domain-containing protein [Trichodesmium erythraeum]	49.5	8.04e-52
k115_30_1	WP_011612929_1 CHAT domain-containing protein [Trichodesmium erythraeum]	50.2	8.57e-52
k115_30_1	WP_012239353_1 CHAT domain-containing protein [Sorangium cellulosum]	51.0	4.42e-50
k115_30_1	WP_083305707_1 tetratricopeptide repeat protein [Moorea producens]	50.5	4.75e-50
k115_30_1	WP_070393893_1 CHAT domain-containing protein [Moorea producens]	48.8	8.82e-49
k115_30_1	WP_011610746_1 CHAT domain-containing protein [Trichodesmium erythraeum]	46.5	2.27e-47
k115_30_1	WP_014399781_1 CHAT domain-containing protein [Corallococcus coralloides]	48.0	3.56e-46
k115_30_1	WP_047855479_1 hypothetical protein [Archangium gephyra]	46.7	4.76e-46
k115_30_1	WP_002611612_1 CHAT domain-containing protein [Stigmatella aurantiaca]	45.2	5.93e-46
k115_30_1	WP_013374685_1 CHAT domain-containing protein [Stigmatella aurantiaca]	46.7	5.75e-45
k115_30_2	WP_084831807_1 serine protease [Arthrospira sp. TJSD091]	44.8	3.68e-16
k115_30_2	WP_015181877_1 CHAT domain-containing protein [Microcoleus sp. PCC 7113]	67.2	5.33e-14
k115_30_2	WP_083305707_1 tetratricopeptide repeat protein [Moorea producens]	60.7	3.82e-13
