# DIAMOND v2.0.15. http://github.com/bbuchfink/diamond
# Invocation: diamond blastp --header -p 16 -f 6 qseqid stitle pident evalue -d /ref/cog-20.fa -q SRR19573024/prodigal/002.fasta.faa -o SRR19573024/diamond/002.fasta.tsv
# Fields: Query ID, Subject title, Percentage of identical matches, Expected value
k115_165_1	WP_046320770_1 serine/threonine protein kinase [Arthrospira sp. TJSD091]	49.5	3.96e-149
k115_165_1	WP_046320766_1 serine/threonine protein kinase [Arthrospira sp. TJSD091]	41.7	6.36e-126
k115_165_1	WP_046319654_1 serine/threonine protein kinase [Arthrospira sp. TJSD091]	43.1	9.92e-125
k115_165_1	WP_046320768_1 serine/threonine protein kinase [Arthrospira sp. TJSD091]	41.2	1.72e-122
k115_165_1	WP_046320773_1 serine/threonine protein kinase [Arthrospira sp. TJSD091]	40.9	1.10e-120
k115_165_1	WP_046319657_1 serine/threonine protein kinase [Arthrospira sp. TJSD091]	42.0	1.45e-119
k115_165_1	WP_046320775_1 serine/threonine protein kinase [Arthrospira sp. TJSD091]	41.4	3.08e-119
k115_165_1	WP_006625565_1 MULTISPECIES: serine/threonine protein kinase [Arthrospira]	39.7	8.51e-111
k115_165_1	WP_070390781_1 formylglycine-generating enzyme family protein [Moorea producens]	55.0	1.85e-107
k115_165_1	WP_011612364_1 protein kinase [Trichodesmium erythraeum]	39.4	5.90e-107
k115_165_1	WP_011610314_1 protein kinase [Trichodesmium erythraeum]	37.7	1.79e-106
k115_165_1	WP_015201197_1 serine/threonine protein kinase [Crinalium epipsammum]	39.5	4.60e-106
k115_165_1	WP_015217409_1 serine/threonine protein kinase [Anabaena cylindrica]	39.5	1.74e-105
k115_165_1	WP_015121917_1 hypothetical protein [Rivularia sp. PCC 7116]	36.8	2.82e-105
k115_165_1	WP_070391704_1 hypothetical protein [Moorea producens]	40.0	3.52e-105
k115_165_1	WP_011610313_1 protein kinase [Trichodesmium erythraeum]	37.2	1.06e-104
k115_165_1	WP_012163389_1 serine/threonine protein kinase [Acaryochloris marina]	35.2	1.28e-104
k115_165_1	WP_083890010_1 serine/threonine protein kinase [Crinalium epipsammum]	40.9	1.29e-104
k115_165_1	WP_011610794_1 protein kinase [Trichodesmium erythraeum]	36.2	1.07e-103
k115_165_1	WP_015120564_1 hypothetical protein [Rivularia sp. PCC 7116]	39.3	1.67e-103
k115_165_1	WP_012266536_1 TIR domain-containing protein [Microcystis aeruginosa]	48.3	5.19e-102
k115_165_1	WP_083305524_1 formylglycine-generating enzyme family protein [Moorea producens]	53.3	2.23e-101
k115_165_1	WP_015178849_1 serine/threonine protein kinase [Oscillatoria nigro-viridis]	36.8	2.99e-101
k115_165_1	WP_084831787_1 serine/threonine protein kinase [Arthrospira sp. TJSD091]	44.9	1.00e-100
k115_165_1	WP_062245641_1 MULTISPECIES: serine/threonine protein kinase [Fischerella]	39.5	5.84e-100
k115_165_2	WP_002776494_1 HicB family protein [Microcystis aeruginosa]	82.1	1.22e-37
k115_165_2	WP_015120622_1 HicB family protein [Rivularia sp. PCC 7116]	77.6	1.42e-36
k115_165_2	WP_015128838_1 type II toxin-antitoxin system HicB family antitoxin [Calothrix sp. PCC 7507]	67.2	2.67e-32
k115_165_2	WP_015217627_1 HicB family protein [Anabaena cylindrica]	68.7	1.09e-31
k115_165_2	WP_041781124_1 HicB family protein [Microcoleus sp. PCC 7113]	70.1	1.09e-31
k115_165_2	WP_070395704_1 hypothetical protein [Moorea producens]	63.6	2.32e-26
k115_165_2	WP_015225751_1 HicB family protein [Halothece sp. PCC 7418]	54.4	3.74e-14
k115_165_2	WP_013328193_1 HicB family protein [Methanolacinia petrolearia]	51.7	3.07e-13
k115_165_2	WP_011012468_1 type II toxin-antitoxin system HicB family antitoxin [Pyrococcus furiosus]	57.1	6.31e-12
k115_165_2	WP_013907327_1 HicB family protein [Thermodesulfatator indicus]	50.8	7.54e-12
k115_165_2	WP_013248114_1 type II toxin-antitoxin system HicB family antitoxin [Nitrospira defluvii]	49.0	1.91e-11
k115_165_2	WP_014960623_1 type II toxin-antitoxin system HicB family antitoxin [Leptospirillum ferriphilum]	54.2	2.06e-11
